date,text,hash_tags
2020-09-10,"""I'm a low-life who is known for disinformation, and the Democrats have taken my false words and put them into a TV commercial.  I am a BIG LIE!  All I do is LIE!  VOTE ME OUT!  Biden should be President!""1",
2020-09-10,Who’s kissing who’s ass tonight?12,
2020-09-10,"And yet approaching the end of your four years (), Flint doesn’t have clean water. Corona has killed over 6800 michiganders. Your callous shamelessness never disappoints, however expected it is in your constantly evolving vengeful teardown loop(s)1",
2020-09-11,"""Didn’t he have an obligation to do so?""YOU HAD THAT OBLIGATION. But you were more worried about the stock market (which is clearly NOT the 'economy')",
2020-09-11,"Landslide coming. But Mr Trump, when you do win, PLEASE do more for environmental issues. We all need somewhere to live & need to leave it healthy for our kids & Grandkids .               2",
2020-09-11,"Unless you've seen him , he could still be dead. That's how  operate. You need to learn more about , if you ever want to be good at it.11","['#in_person', '#CommunistRegimes', '#fascist_dictators']"
2020-09-11,You are purposely exposing your cult base to Covid. It’s all about you.You are evil1,
2020-09-11," Where’s your plan for healthcare?  Where’s your plan for the economy?  Where’s your plan for racial equity?  You have NO Republican platform. Are you all planning to do anything except lie, cheat and party with dictators?2",
2020-09-11,    If right now isn't the time for emergency use of the  we're all going to be sick and dying. Why will nobody stop this insanity???Trump knew and for selfish reasons he kept lying about CovidIMPEACH HIM23,['#25thAmendment']
2020-09-11,"I have taken the toughest-ever action to stand up to China’s rampant theft of Michigan jobs. Sleepy Joe Biden has vowed to remove those Tariffs and allow China to resume its pillaging. Joe Biden’s Agenda is Made in China, my agenda is Made in the USA!1.31.86.5",
2020-09-11,I will believe the Sun rises from the West before I believe ONE ugly word told by the Trump haters!  I hope those lying neverTrumpers all get to be punished as traitors because they have LOST their BASIC HUMAN DECENCY!1,
2020-09-11,I feel bad for them.3,
2020-09-11,Golf complain and campaign while you bankrupt America. Tough gig.13,
2020-09-11,Joe Biden’s America. Portland thugs just endorsed him.11,
2020-09-11,Oh what tangle webs ypu weave when first you choose to deceive!  ,"['#TrumpLiesPeopleDie', '#TrumpKnew2']"
2020-09-11,Welcome to our State Mr. PRESIDENT!15,
2020-09-11,Nobody cares what you think Donald Duck and cover. The only ones who do are your followers12,
2020-09-11,Those were your words for the public.  Most of us know your true feelings because you've given us a glimpse into your heart and it isn't pretty.5,
2020-09-11,Close the doors and bar the gates!  Hide the women and children!6,
2020-09-11,Welcome best President ever!!!!Trump 2020!!127,
2020-09-11,"No thanks, got better things to do like pull a tooth, break a bone etc.!!3",
2020-09-11,"Attention all , including all Tv Stations, Newspapers, Digital Outlets MUST DEMAND  resign immediately or the  Cowards due their jobs and remove .    ","['#MSM', '#DopeyDon', '#GOP', '#Trump', '#TrumpKnew', '#TrumpGenocide', '#TrumpLiedPeopleDied24']"
2020-09-11,How’s the flight bro3,
2020-09-12,"Blue states have been financing red states for decades, donnie boy! The economy is failing and will continue to until the Pandemic is controlled.        ","['#TraitorTrump', '#CorruptGop', '#MoscowMitch', '#PutinsPompeo', '#ImpeachBarr', '#RecordUnemployment', '#America1stCOVID19Cases', '#TrumpDeathToll197K12']"
2020-09-12," does not know the Pledge of Allegiance and  is as unAmerican as her ""husband"" .1",
